"from","to"
1,450
1,451
1,452
1,453
1,454
1,455
1,456
1,457
1,433
1,458
1,459
1,460
1,461
1,462
1,463
1,464
1,465
2,483
3,484
3,533
3,534
4,583
4,562
4,584
4,585
4,586
4,587
4,588
4,589
4,590
4,591
5,598
5,599
5,600
5,601
5,602
5,603
5,604
5,605
5,606
5,607
5,608
5,609
5,610
5,611
5,612
5,613
5,83
5,614
5,615
5,616
5,617
5,618
5,619
6,669
7,719
8,729
8,730
8,731
8,732
8,733
8,734
8,735
8,736
8,737
8,738
8,739
9,788
11,836
11,837
12,838
12,839
12,840
12,841
12,842
12,843
12,844
12,845
12,846
13,887
13,888
15,931
15,10
15,932
15,933
15,934
15,935
15,46
15,936
15,937
18,998
19,1036
19,1037
19,1038
19,1039
20,1074
20,1075
20,1058
20,355
20,1076
20,1077
20,1078
20,1079
20,340
20,1080
20,1081
20,1082
20,1083
20,1084
21,1094
22,1097
23,1
23,82
23,1102
23,1103
23,1104
23,1105
24,1113
25,1163
25,1164
25,1165
25,1166
25,1167
25,1169
25,1170
26,1220
26,1221
26,1222
27,1264
27,1265
27,1266
27,1267
28,103
28,1307
28,1308
28,1309
29,1325
29,9
30,1374
30,1375
30,1376
30,1377
30,1378
30,1379
30,1380
30,1381
31,1426
31,1427
32,127
33,1
33,1489
33,1490
33,1476
33,7
33,1491
33,1492
33,4
33,108
33,1493
33,1494
33,1495
33,1496
36,1617
36,1618
36,1619
37,1658
37,1659
37,1660
37,1661
37,1080
37,1662
40,75
40,83
40,1804
40,1805
40,1768
40,1806
40,1807
40,1808
40,1809
40,1810
40,1811
40,1812
40,1813
40,1814
42,67
42,1863
42,1864
43,1890
44,1892
45,1984
45,1985
45,1986
45,1987
46,2020
46,2021
46,2022
46,2023
46,2024
46,2025
47,2075
47,2076
47,2077
47,2078
47,2079
47,2080
49,2129
49,2130
49,2131
49,2132
49,2133
49,2135
49,2136
49,2137
49,2138
49,2139
49,2140
49,2141
49,2142
49,2143
52,2216
52,2217
52,2218
54,103
54,1307
54,1308
54,1309
55,2327
55,2328
55,2329
55,2330
55,2331
55,2332
55,2333
56,2364
57,1618
57,2399
57,2400
58,2407
58,459
58,2408
58,2409
58,2410
58,2411
58,1491
58,2412
58,2413
58,2414
58,2415
58,2416
58,2417
58,2418
58,2419
58,370
58,2420
58,2421
58,2422
58,2423
58,2424
58,2425
59,2475
59,2476
63,2612
63,2652
63,183
66,2769
67,2770
67,2817
67,2818
67,2819
67,2820
67,2821
67,2822
67,2823
67,2825
67,2826
67,2827
67,2828
67,2830
68,44
68,2867
68,2868
68,2869
68,2870
68,2845
68,1084
68,2871
69,2921
69,2922
69,2923
70,2970
70,2971
70,2927
70,2972
70,2973
70,2974
71,3019
71,3020
71,3021
71,3022
71,1080
71,3023
71,3024
71,3025
71,3026
71,3027
71,3028
71,9
71,299
71,38
71,3029
71,3030
71,3031
71,1325
72,3034
72,3035
73,3085
73,3086
73,3087
73,3088
73,3089
73,3090
73,3091
73,3092
75,3183
75,3184
75,3185
75,3186
75,3187
75,3188
75,159
76,3237
77,3243
79,3294
79,3295
80,3300
81,3302
81,3303
81,1490
82,1
82,23
82,3351
82,3352
82,3353
83,3400
83,3401
83,3402
83,3403
83,3404
83,3405
83,3406
83,3407
83,3408
83,3409
83,3410
83,3411
84,3418
84,1080
84,1618
84,3440
85,1618
86,3485
87,3526
87,3527
88,3557
89,3591
89,3592
90,3636
91,3670
91,1618
93,3763
93,3764
94,3792
94,3793
94,3794
94,3795
94,3799
94,3800
94,3803
94,3804
94,3805
94,3806
94,3807
94,3808
96,3855
96,3856
96,3857
96,3858
98,3924
98,3925
98,3926
99,3938
99,3939
99,3940
99,3941
99,3942
100,1618
101,3996
101,3997
101,3998
101,3999
101,3974
101,4000
101,4001
101,4002
101,4003
101,4007
101,4009
101,4010
101,4011
101,4033
101,4035
101,4036
101,4037
102,4093
102,4094
104,4182
104,4183
104,4184
107,4243
108,4290
108,4292
108,4293
108,4294
108,4295
108,4296
108,4297
108,4298
109,33
110,4381
110,4382
110,4383
110,4384
110,4385
110,4386
110,4387
110,4388
110,4389
110,4390
110,4391
110,4345
110,4392
111,4441
111,4442
111,4443
111,4444
111,4445
111,4446
111,4447
112,67
112,1863
112,1864
113,2023
115,788
115,4594
115,4595
118,4715
118,4716
118,4717
118,4718
118,4719
118,4720
118,4721
118,4722
118,4723
118,4724
120,4796
121,4800
121,4801
122,4823
122,4824
122,3019
123,4848
123,4849
125,4935
125,311
125,4936
125,4937
125,4938
125,4939
126,4964
126,4965
126,4966
126,4967
126,160
126,1618
126,4968
126,4969
128,5042
128,5043
129,5064
129,5065
129,5066
129,5042
129,1618
130,5116
130,5117
130,5118
130,5119
130,5129
130,5131
130,5132
130,5133
130,5134
130,5135
130,5136
130,5137
130,5098
130,5138
130,5139
130,5140
130,5141
130,5074
130,5142
130,5143
130,5144
130,5145
130,5146
130,5147
131,5195
131,5196
131,5197
131,5198
131,5199
132,5232
132,5233
132,5234
133,5279
133,5280
133,5281
133,5282
133,5283
133,5284
133,5285
133,5286
133,5287
133,5288
133,5289
133,5290
133,5291
133,5293
133,5294
133,5295
133,70
133,5301
133,5302
133,5303
134,5346
134,58
134,5347
135,5392
135,5393
135,5394
135,5395
135,5396
135,5397
135,5398
135,5399
135,5400
135,5401
135,5402
135,5403
135,5404
136,5441
136,5442
136,5443
136,5444
136,5453
138,5482
143,5668
143,5669
144,5710
144,5711
145,5754
146,5804
146,5805
147,5851
147,5852
147,5853
147,5854
147,5855
147,1084
147,5856
147,5857
148,5900
148,5901
148,5902
150,5964
150,5965
150,5966
150,5967
150,5968
150,5969
150,5970
150,5971
151,5995
151,1618
152,6005
152,6006
152,6007
152,6008
152,2079
152,6009
154,31
155,6069
155,6070
155,6071
155,6072
155,6073
155,6074
156,6106
157,6108
157,6109
157,6110
157,6111
159,75
159,123
159,3021
159,6131
159,6132
159,6133
159,83
159,6134
159,6135
159,6136
159,6137
159,6138
159,6139
159,6140
159,6141
159,6142
159,6143
159,6144
159,6145
159,6146
160,6176
160,6177
160,6178
160,6179
160,6180
163,1618
163,6283
163,54
166,6380
168,6428
168,6429
169,6476
170,2476
171,6556
174,5805
174,6654
174,6655
175,44
175,6677
175,6678
175,6679
175,6680
175,6681
175,6682
175,2870
175,2845
175,1084
175,2871
178,6798
181,6885
182,6927
182,2217
182,2218
183,6947
183,6948
183,1080
183,6949
183,6950
183,296
186,7045
186,7046
186,7047
186,7048
186,7049
186,7050
186,7051
186,7055
186,7056
186,7057
187,7079
187,7080
187,7081
187,7082
187,7083
187,7084
187,7085
187,7087
187,7088
187,7089
187,7090
187,7077
187,7091
187,7092
187,7093
187,7099
187,7072
187,7100
187,7101
187,7102
187,7103
187,7104
187,7105
187,7106
187,7107
187,7108
187,7109
187,7110
187,9
187,7111
187,1080
187,7112
187,7113
187,46
187,2024
187,7114
187,7116
187,7117
187,7118
187,7119
190,7216
190,7217
190,7218
190,7219
191,7265
191,7266
191,7267
191,7268
191,5856
191,7269
192,7313
194,7394
194,7395
194,7396
194,7397
194,7398
194,7399
194,7400
194,7401
194,7402
194,7403
194,7404
194,7405
194,7406
194,7407
194,7408
194,7409
194,7410
194,7411
194,7412
194,7413
194,7414
194,7415
194,7416
194,7417
195,2975
195,2927
195,2972
195,7454
195,7455
201,7622
201,225
201,7639
201,605
201,7640
203,5754
204,7711
205,7756
205,7757
205,7758
205,7759
205,7760
205,7761
205,7762
205,7763
205,7764
205,7765
205,7766
205,7767
205,7768
205,7769
205,7770
205,7772
206,2023
206,1662
206,7800
206,7801
206,7802
208,7849
208,7850
208,7851
208,7852
208,7853
208,7854
208,7855
208,2079
209,7895
209,7896
209,7897
209,7898
209,7899
209,7900
209,7901
209,7902
209,7903
209,341
209,7904
209,7905
209,7906
209,598
209,7907
209,7908
209,7909
209,7910
209,7911
209,7912
209,7913
209,7914
209,7915
209,7916
209,7917
211,8006
211,8007
211,8008
211,8009
212,8052
213,7899
213,8089
213,8057
213,8090
213,8091
213,8092
213,8093
213,8094
213,8095
213,8096
213,8097
213,8098
213,8099
213,8100
214,8121
214,8122
214,8123
215,8131
216,8173
216,75
217,8188
217,8189
219,8203
219,8204
219,8205
219,8206
219,8207
219,8208
219,8209
219,8210
219,8211
219,8212
219,8213
219,8214
219,8215
219,8216
219,8217
219,8218
219,8219
219,8220
219,8221
220,8258
220,8259
221,8267
221,8268
222,8313
222,8314
222,8315
223,75
223,123
223,3021
223,6131
223,6132
223,6133
223,83
223,6134
223,6135
223,6136
223,6137
223,6138
223,6139
223,6140
223,6141
223,6142
223,6143
223,6144
223,6145
223,6146
227,8454
228,6947
228,6948
228,1080
228,296
229,8500
231,8550
231,8551
231,1618
232,2476
232,2218
233,8590
233,8591
233,8592
233,8593
233,8594
233,8595
233,8596
233,8597
233,8598
233,8599
233,8600
233,8601
233,8602
233,8603
233,8604
233,8605
233,8606
233,8607
233,8608
233,8609
233,8610
233,8611
236,1080
236,8620
236,8621
236,8622
236,8623
236,8624
236,8625
236,285
236,8626
236,8627
236,8628
236,8629
236,8630
236,8631
236,8632
236,8633
236,8634
236,8635
236,8636
236,8637
236,8638
236,8639
236,8640
236,8641
236,8642
236,8643
236,8644
236,8645
236,8646
236,8647
236,8648
236,8649
236,8650
236,8651
236,8652
236,8653
236,8654
236,8655
236,8656
236,8657
236,8658
236,8659
236,8660
236,8661
236,8662
236,8663
236,8664
236,8665
236,8666
236,8667
236,8668
236,8669
236,6179
236,8670
236,8671
236,8672
236,8673
236,8674
236,8675
236,8676
236,8677
236,8678
236,8679
236,8680
236,8681
236,8682
236,8683
236,8684
236,8685
236,8686
236,8687
236,8688
236,8689
236,8690
236,8691
236,8692
236,8693
236,8694
236,8695
236,8696
236,8697
236,7756
236,8698
236,8699
236,8700
236,8701
236,8702
236,8703
236,8704
236,8705
236,205
236,8706
236,8707
236,8708
236,8709
236,8710
236,8711
236,8712
236,8713
236,1494
236,8714
236,8715
236,8716
236,8717
236,8718
236,8719
236,8720
236,8721
236,8722
236,8723
236,8724
236,8725
236,8726
236,8727
236,8728
236,8729
236,8730
236,8731
236,8732
236,8733
236,8734
236,8735
236,8736
236,8737
236,8738
236,8739
236,6131
236,8740
236,8741
236,3938
236,8742
236,8743
236,8744
236,8745
236,8746
236,8747
236,8748
236,8749
236,8750
236,8751
236,8752
236,8173
236,8753
236,8754
236,8755
236,8756
236,8757
236,8758
236,8759
236,8760
236,8761
236,8762
236,8763
236,8764
236,8765
236,8766
236,8767
236,8768
236,8769
236,8770
236,8771
