,ID,Name,Price,Pumps,Interior,Restaurant,CarWash,Highway,Intersection,Stoplight,IntersectionStoplight,Gasolines,Competitors,Zipcode,Address,Income,Brand
1,1,Shell,1.79,4,Y,N,N,N,Y,N,Intersection,3,N,78705,3201 N Lamar Blvd,12786,Shell
2,2,Valero,1.83,4,Y,N,N,N,Y,N,Intersection,3,N,78705,3515 N Lamar Blvd,12786,Other
3,3,7-Eleven,1.88,4,Y,N,N,N,Y,Y,Both,3,Y,78751,5101 N Lamar Blvd,41279,Other
4,4,Texaco,1.88,4,Y,N,Y,N,Y,Y,Both,4,Y,78751,5301 N Lamar Blvd,41279,Chevron-Texaco
5,5,Shell,1.84,6,Y,N,N,N,Y,Y,Both,3,N,78751,5630 N Lamar Blvd,41279,Shell
6,6,Shell,1.83,8,Y,N,N,N,Y,N,Intersection,3,Y,78752,6301 N Lamar Blvd,37396,Shell
7,7,Gulf,1.79,4,Y,N,N,N,Y,N,Intersection,3,Y,78752,6401 N Lamar Blvd,37396,Other
8,8,Lamar Corner Store,1.89,2,Y,N,N,N,Y,Y,Both,3,N,78752,7545 N Lamar Blvd,37396,Other
9,9,Shell,1.89,6,Y,N,N,N,Y,N,Intersection,4,N,78752,6515 Airport Blvd,37396,Shell
10,10,Valero,1.83,6,Y,N,N,N,Y,N,Intersection,3,N,78751,3909 Guadalupe St,41279,Other
11,11,Chevron,1.85,8,Y,N,N,N,Y,Y,Both,4,N,78705,2819 Guadalupe St,12786,Chevron-Texaco
12,12,7-Eleven,1.97,4,Y,N,N,N,Y,Y,Both,3,N,78705,2600 Guadalupe St,12786,Other
13,13,Shell,1.97,4,Y,N,N,N,Y,Y,Both,4,N,78705,2400 Rio Grande St,12786,Shell
14,14,7-Eleven,1.95,4,Y,N,N,N,Y,Y,Both,3,N,78701,1814 Guadalupe St,87306,Other
15,15,Shell,1.75,6,Y,N,N,N,Y,Y,Both,3,N,78702,1901 E Martin Luther King Jr Blvd,37690,Shell
16,16,Shell,1.73,6,Y,N,N,N,Y,Y,Both,3,Y,78722,2204 Airport Blvd,54526,Shell
17,17,Shell,1.75,6,Y,N,N,N,Y,Y,Both,4,Y,78722,3839 Airport Blvd,54526,Shell
18,18,HEB Fuel,1.79,10,N,N,N,N,Y,N,Intersection,4,Y,78723,1801 E 51st St,42615,Other
19,19,Exxon,1.79,20,Y,N,Y,N,Y,Y,Both,4,Y,78723,1660 E 51st St,42615,ExxonMobil
20,20,7-Eleven,1.73,8,Y,N,N,N,Y,Y,Both,4,Y,78722,3848 Airport Blvd,54526,Other
21,21,Citgo,1.75,4,Y,N,N,N,Y,Y,Both,3,Y,78722,3842 Airport Blvd,54526,Other
22,22,Phillips 66,1.85,6,Y,N,N,N,Y,Y,Both,4,Y,78702,1149 Airport Blvd,37690,Other
23,23,Double R Grocery,1.79,4,Y,N,N,N,Y,N,Intersection,4,Y,78702,1149 Airport Blvd,37690,Other
24,24,Gulf,1.79,4,Y,N,N,N,Y,N,Intersection,3,N,78721,1135 Airport Blvd,36698,Other
25,25,7-Eleven,1.84,6,Y,N,N,N,Y,Y,Both,4,N,78702,863 Airport Blvd,37690,Other
26,26,Exxon,1.89,10,Y,Y,N,Y,Y,Y,Both,4,Y,78721,3926 Ed Bluestein Blvd,36698,ExxonMobil
27,27,Shell,1.89,8,Y,Y,N,Y,Y,Y,Both,4,Y,78721,6105 Techni Center Dr,36698,Shell
28,28,Exxon,1.89,16,Y,N,N,Y,Y,Y,Both,4,N,78723,6518 Ed Bluestein Blvd,42615,ExxonMobil
29,29,Mobil,1.89,4,Y,N,N,N,Y,Y,Both,4,N,78723,3112 Manor Rd,42615,ExxonMobil
30,30,Kool Corner,1.79,4,Y,N,N,N,Y,Y,Both,3,N,78723,6413 Manor Rd,42615,Other
31,31,Gulf,1.79,4,Y,N,N,N,Y,N,Intersection,3,Y,78723,5301 Manor Rd,42615,Other
