instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,total
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,16
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,40
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,32
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,13
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,1
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,1
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,2
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,3
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,8
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,14
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,36
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,56
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,84
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,94
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,106
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,110
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,93
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,67
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,35
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,37
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,36
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,34
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,28
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,39
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,17
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,17
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,9
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,6
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,3
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,2
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,1
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,8
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,20
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,53
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,70
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,93
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,75
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,59
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,74
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,76
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,65
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,53
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,30
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,22
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,31
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,9
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,8
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,5
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,2
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,1
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,3
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,30
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,64
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,154
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,88
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,44
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,51
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,61
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,61
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,77
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,72
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,76
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,157
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,157
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,110
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,52
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,52
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,20
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,12
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,5
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,2
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,1
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,2
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,4
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,36
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,94
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,179
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,100
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,42
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,57
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,78
