"","fips","State","Area_name","Rural.urban_Continuum.Code_2003","Rural.urban_Continuum.Code_2013","Urban_Influence_Code_2003","POP_ESTIMATE_2018","Unemployment_rate_2018","Median_Household_Income_2018","Percent.of.adults.with.less.than.a.high.school.diploma..2014.18","Percent.of.adults.with.a.high.school.diploma.only..2014.18","Percent.of.adults.completing.some.college.or.associate.s.degree..2014.18","Percent.of.adults.with.a.bachelor.s.degree.or.higher..2014.18"
"1",0,"US","United States",NA,NA,NA,327167434,3.9,61937,12.3,27.1,29,31.5
"2",1000,"AL","Alabama",NA,NA,NA,4887871,3.9,49881,14.2,30.9,29.9,24.9
"3",10000,"DE","Delaware",NA,NA,NA,967171,3.8,65467,10.2,31.6,26.8,31.4
"4",10001,"DE","Kent County",3,3,2,178550,4.1,54980,12.9,33.2,30.4,23.6
"5",10003,"DE","New Castle County",1,1,1,559335,3.7,69562,8.5,30.6,25,35.9
"6",10005,"DE","Sussex County",4,2,5,229286,3.7,59821,12.3,32.8,28.4,26.5
"7",1001,"AL","Autauga County",2,2,2,55601,3.6,59338,11.3,32.6,28.4,27.7
"8",1003,"AL","Baldwin County",4,3,5,218022,3.6,57588,9.7,27.6,31.3,31.3
"9",1005,"AL","Barbour County",6,6,6,24881,5.2,34382,27,35.7,25.1,12.2
"10",1007,"AL","Bibb County",1,1,1,22400,4,46064,16.8,47.3,24.4,11.5
"11",1009,"AL","Blount County",1,1,1,57840,3.5,50412,19.8,34,33.5,12.6
"12",1011,"AL","Bullock County",6,6,6,10138,4.7,29267,24.8,39.7,22.3,13.3
"13",1013,"AL","Butler County",6,6,6,19680,4.8,37365,15.4,43.9,24.6,16.1
"14",1015,"AL","Calhoun County",3,3,2,114277,4.7,45400,15.9,32.4,33.7,18
"15",1017,"AL","Chambers County",6,6,5,33615,3.9,39917,18.6,38.4,29.7,13.2
"16",1019,"AL","Cherokee County",8,6,6,26032,3.6,42132,19.8,38.3,29,12.9
"17",1021,"AL","Chilton County",1,1,1,44153,3.6,47547,17.8,44.1,24,14.2
"18",1023,"AL","Choctaw County",9,9,10,12841,5.5,39907,18.6,38.2,30.2,13
"19",1025,"AL","Clarke County",7,7,11,23920,7.5,40741,18.8,43.7,24.9,12.6
