Time,lat,lon,state
K01R,31.133333333333333,-92.56666666666666,LA
K01T,28.133333333333333,-94.4,LA
K05F,31.416666666666668,-97.8,TX
K0E0,34.983333333333334,-106.0,NM
K0F2,33.6,-97.78333333333333,TX
K0R3,29.983333333333334,-92.08333333333333,LA
K11R,30.216666666666665,-96.36666666666666,TX
K1B7,29.35,-89.43333333333334,LA
K1F0,34.15,-97.11666666666666,OK
K1F9,33.18333333333333,-97.83333333333333,TX
K1G7,28.783333333333335,-89.05,LA
K1L0,30.083333333333332,-90.58333333333333,LA
K25R,26.45,-98.13333333333334,TX
K25T,26.933333333333334,-94.68333333333334,TX
K28K,27.883333333333333,-91.5,LA
K28T,29.7,-93.95,TX
K2C2,32.36666666666667,-106.46666666666667,NM
K2F1,35.2,-100.25,TX
K2F8,32.75,-91.88333333333334,LA
K2GL,29.416666666666668,-90.3,LA
K2R8,27.816666666666666,-97.08333333333333,TX
K31F,32.68333333333333,-102.65,TX
K37C,28.366666666666667,-93.5,LA
K3B6,28.233333333333334,-91.68333333333334,LA
K3R1,28.966666666666665,-95.86666666666666,TX
K3R5,29.716666666666665,-98.05,TX
K3R7,30.25,-92.66666666666667,LA
K3T1,32.75,-95.5,TX
K3T5,29.9,-96.95,TX
K3V8,29.116666666666667,-89.2,LA
K41I,28.466666666666665,-91.78333333333333,LA
K4C0,29.783333333333335,-93.18333333333334,LA
K4CO,29.783333333333335,-93.18333333333334,LA
K4CR,34.1,-105.66666666666667,NM
K4F4,32.7,-94.95,TX
K4M9,36.4,-90.65,AR
K4MR,34.3,-103.8,NM
K4MY,34.983333333333334,-106.0,NM
K4O4,33.916666666666664,-94.86666666666666,OK
K4SL,35.78333333333333,-107.16666666666667,NM
K5C1,29.716666666666665,-98.7,TX
K5R0,28.216666666666665,-93.75,TX
K5R3,30.5,-97.96666666666667,TX
K5R5,29.25,-96.15,TX
K5R8,30.433333333333334,-93.46666666666667,LA
K5T5,32.083333333333336,-97.1,TX
K5T6,31.883333333333333,-106.7,NM
K5T9,28.85,-100.51666666666667,TX
K62H,30.166666666666668,-96.98333333333333,TX
K66R,29.65,-96.51666666666667,TX
K6R0,30.35,-89.81666666666666,LA
K6R3,30.35,-95.0,TX
K6R6,30.05,-102.21666666666667,TX
K6R9,30.783333333333335,-98.66666666666667,TX
K6T5,28.983333333333334,-95.31666666666666,TX
K7B5,28.083333333333332,-93.2,LA
K7F6,33.6,-95.06666666666666,TX
K7F9,31.916666666666668,-98.6,TX
K7R1,29.266666666666666,-89.36666666666666,LA
K7R2,29.216666666666665,-90.23333333333333,LA
K7R3,29.683333333333334,-91.08333333333333,LA
K7R4,29.766666666666666,-92.11666666666666,LA
K7R5,29.766666666666666,-93.28333333333333,LA
K7R8,28.3,-91.96666666666667,LA
K7W2,28.583333333333332,-92.46666666666667,LA
K9F2,29.1,-90.2,LA
KABI,32.416666666666664,-99.68333333333334,TX
KABQ,35.05,-106.61666666666666,NM
KABX,35.15,-106.81666666666666,NM
KACP,30.75,-92.68333333333334,LA
KACT,31.616666666666667,-97.23333333333333,TX
KADF,34.1,-93.06666666666666,AR
KADH,34.8,-96.66666666666667,OK
KADM,34.28333333333333,-97.01666666666667,OK
