,hour,day,month,KHOU_temp,KHOU_dewpoint,COAST
1,1,6,1,284.25,282.25,7775.45684612678
2,2,6,1,286.25,283.75,7704.81598201216
3,3,6,1,285.25,281.25,7650.57572430816
4,4,6,1,284.25,281.25,7666.70831660532
5,5,6,1,284.25,280.75,7744.96086890473
6,6,6,1,282.25,279.25,7980.65342913135
7,7,6,1,281.25,278.25,8197.65692119332
8,8,6,1,281.25,277.25,8323.46671698691
9,9,6,1,281.25,277.25,8445.65254045713
10,10,6,1,280.25,276.25,8682.28835409821
11,11,6,1,280.25,276.25,8783.46296933617
12,12,6,1,280.25,276.25,8810.25179988387
13,13,6,1,279.25,275.25,8651.04366217697
14,14,6,1,279.25,275.25,8449.11838477876
15,15,6,1,280.25,275.25,8222.02941969989
16,16,6,1,281.25,276.25,8055.582780203
17,17,6,1,282.25,275.25,8155.93207807731
18,18,6,1,284.25,275.25,8620.02950413334
19,19,6,1,285.25,272.25,9136.17602225478
20,20,6,1,286.25,272.25,9258.35352866864
21,21,6,1,285.25,271.25,9204.68250731356
22,22,6,1,285.25,272.25,9050.98243223076
23,23,6,1,282.25,273.25,8816.74638056233
24,0,7,1,282.25,272.25,8515.7924
25,1,7,1,281.25,273.25,8279.04445225713
26,2,7,1,280.25,274.25,8130.66476165417
27,3,7,1,279.25,273.25,8049.18531305757
28,4,7,1,279.25,272.25,8095.66042449465
29,5,7,1,279.25,273.25,8217.18416567589
30,6,7,1,277.25,273.25,8436.45767563832
31,7,7,1,278.25,273.25,8749.76530219596
32,8,7,1,276.25,273.25,9157.07175129319
33,9,7,1,277.25,273.25,9384.70822594501
34,10,7,1,276.25,273.25,9500.94615918947
35,11,7,1,275.25,272.25,9284.1719707027
36,12,7,1,275.25,272.25,9086.50621419838
37,13,7,1,276.25,273.25,8749.69165497717
38,14,7,1,280.25,276.25,8525.46580940492
39,15,7,1,282.25,275.25,8379.87234227501
40,16,7,1,283.25,273.25,8259.77772454895
41,17,7,1,284.25,272.25,8422.40971828905
42,18,7,1,284.25,273.25,9051.15320238099
43,19,7,1,285.25,270.25,9617.82521655388
44,20,7,1,284.583333333333,270.583333333333,9613.61896317601
45,21,7,1,283.916666666667,270.916666666667,9591.3299269245
46,22,7,1,283.25,271.25,9454.65827532216
47,23,7,1,281.25,271.25,9076.81757127893
48,0,1,1,281.25,274.25,8659.3395
49,1,1,1,280.25,275.25,8015.77206464782
50,2,1,1,280.25,275.25,7827.9345348974
51,3,1,1,280.25,275.25,7675.62702194195
52,4,1,1,280.25,275.25,7634.55757837794
53,5,1,1,280.25,275.25,7652.00136193499
54,6,1,1,279.25,276.25,7824.74801539449
55,7,1,1,280.25,276.25,8080.47449647159
56,8,1,1,280.25,276.25,8358.41327112891
57,9,1,1,280.25,276.25,8467.7508961016
58,10,1,1,280.25,276.25,8846.97856585856
59,11,1,1,280.25,276.25,9014.50361632051
60,12,1,1,280.25,275.25,9135.2673268127
61,13,1,1,279.25,275.25,8995.26768152783
62,14,1,1,279.25,274.25,8850.74805614366
63,15,1,1,279.25,275.25,8679.0871574849
64,16,1,1,280.25,275.25,8703.55366572492
65,17,1,1,280.25,276.25,8892.02291023778
66,18,1,1,281.25,276.25,9419.3090475499
67,19,1,1,281.25,276.25,9759.97319641264
68,20,1,1,282.25,276.25,9864.40028295751
69,21,1,1,282.25,276.25,9674.16216369297
70,22,1,1,282.25,276.25,9437.5026562581
71,23,1,1,281.25,275.25,8846.17227262669
72,0,2,1,281.25,276.25,8467.6579
73,1,2,1,280.25,275.25,8134.03576361653
74,2,2,1,279.25,276.25,7941.51398061775
75,3,2,1,280.25,276.25,7795.04783964202
76,4,2,1,280.25,276.25,7843.02939000198
77,5,2,1,281.25,275.25,8230.01501651922
78,6,2,1,281.25,275.25,8886.79115302481
79,7,2,1,281.25,276.25,9800.72251090382
80,8,2,1,281.25,276.25,10289.8284631793
81,9,2,1,281.25,275.25,10407.3372756146
82,10,2,1,281.25,275.25,10818.4770040696
83,11,2,1,280.25,275.25,10810.6830790619
84,12,2,1,279.25,274.25,10759.7353504832
85,13,2,1,279.25,274.25,10722.3149103135
86,14,2,1,278.75,273.75,10574.4527540278
87,15,2,1,277.25,272.25,10273.5670007334
88,16,2,1,277.25,270.25,10193.2823901871
89,17,2,1,278.25,269.75,10174.8164886826
90,18,2,1,280.25,270.25,10764.4097046832
91,19,2,1,280.25,269.25,11580.4988670565
92,20,2,1,282.25,270.25,11620.2524607257
93,21,2,1,281.25,269.25,11296.770937287
94,22,2,1,281.25,269.25,10932.671450882
95,23,2,1,280.25,269.25,10375.8008608794
96,0,3,1,279.25,269.25,9906.2604
97,1,3,1,277.25,269.25,9462.11984684089
98,2,3,1,277.25,269.25,9330.76339643713
99,3,3,1,276.25,269.25,9275.22089422082
100,4,3,1,275.25,269.25,9393.99660201307
101,5,3,1,275.25,269.25,9798.73772354331
102,6,3,1,274.25,269.25,10615.041112222
103,7,3,1,274.25,269.25,11724.6938131947
104,8,3,1,273.25,269.25,12047.6167596036
105,9,3,1,272.25,269.25,11930.851376876
106,10,3,1,273.25,269.25,11850.022691072
107,11,3,1,272.25,268.25,11579.5221003015
108,12,3,1,272.25,268.25,11437.9839219157
