partner,year,partner_name,product,product_name,US_report_import,pop2000,region
ARE,1998,United Arab Emirates,950341,Toys representing animals or non-hu,1.06,3247000,7
ARE,2000,United Arab Emirates,950349,Toys representing animals or non-hu,12.012,3247000,7
ARE,2003,United Arab Emirates,950349,Toys representing animals or non-hu,4.65,3247000,7
ARE,2005,United Arab Emirates,950320,"Reduced-size (""scale"") model assemb",49.236,3247000,7
ARG,1996,Argentina,950341,Toys representing animals or non-hu,0,36895710,2
ARG,1996,Argentina,950310,"Electric trains, including tracks,",10.85,36895710,2
ARG,1996,Argentina,950320,"Reduced-size (""scale"") model assemb",0,36895710,2
ARG,1997,Argentina,950349,Toys representing animals or non-hu,3.708,36895710,2
ARG,1997,Argentina,950320,"Reduced-size (""scale"") model assemb",8.729,36895710,2
ARG,1997,Argentina,950299,Parts and accessories :-- Other,120.419,36895710,2
ARG,1998,Argentina,950349,Toys representing animals or non-hu,189.175,36895710,2
ARG,1998,Argentina,950291,Parts and accessories :-- Garments,12.76,36895710,2
ARG,1998,Argentina,950341,Toys representing animals or non-hu,0,36895710,2
ARG,1998,Argentina,950320,"Reduced-size (""scale"") model assemb",1.874,36895710,2
ARG,1998,Argentina,950299,Parts and accessories :-- Other,109.619,36895710,2
ARG,1999,Argentina,950299,Parts and accessories :-- Other,286.81,36895710,2
ARG,1999,Argentina,950349,Toys representing animals or non-hu,82.52,36895710,2
ARG,1999,Argentina,950291,Parts and accessories :-- Garments,37.067,36895710,2
ARG,1999,Argentina,950320,"Reduced-size (""scale"") model assemb",0,36895710,2
ARG,2000,Argentina,950299,Parts and accessories :-- Other,536.258,36895710,2
ARG,2000,Argentina,950349,Toys representing animals or non-hu,139.85,36895710,2
ARG,2000,Argentina,950320,"Reduced-size (""scale"") model assemb",0,36895710,2
ARG,2000,Argentina,950341,Toys representing animals or non-hu,0,36895710,2
ARG,2000,Argentina,950291,Parts and accessories :-- Garments,9.072,36895710,2
ARG,2001,Argentina,950320,"Reduced-size (""scale"") model assemb",0,36895710,2
