"","Food","Service","Value","Atmosphere","Overall"
"1",5,5,5,5,5
"2",5,5,5,5,5
"5",5,5,4,4,5
"11",5,5,5,5,5
"12",5,5,5,4,5
"13",5,5,5,5,5
"14",5,5,5,5,5
"15",5,4,5,5,5
"17",5,5,5,5,5
"18",5,5,5,5,5
"19",5,5,5,4,5
"20",5,5,5,5,5
"21",5,5,5,5,5
"22",5,5,4,5,5
"23",5,5,5,5,5
"24",5,5,5,5,5
"25",5,5,5,5,5
"26",5,5,5,4,5
"27",4,4,5,5,5
"28",5,5,5,5,5
"29",5,5,5,4,5
"30",5,5,5,3,5
"32",5,5,5,5,5
"33",5,5,5,5,5
"34",5,5,5,5,5
"36",5,5,5,5,5
"39",5,5,5,5,5
"40",5,5,5,5,5
"41",5,5,5,5,5
"42",5,5,5,3,5
"44",5,5,5,5,5
"45",5,5,4,5,5
"46",5,4,4,5,5
"47",5,5,5,5,5
"50",5,5,5,5,5
"52",5,5,5,5,5
"54",4,5,4,5,5
"56",5,5,3,4,5
"57",5,5,5,1,5
"58",5,4,5,4,5
"59",5,4,5,3,5
"60",5,2,5,3,5
"62",5,5,5,5,5
"63",5,5,5,5,5
"64",5,5,5,5,5
"66",5,5,5,5,5
"71",5,5,5,4,5
"73",5,5,5,5,5
"74",5,5,5,5,5
"75",5,5,5,5,5
"80",5,5,5,4,5
"81",5,4,5,5,5
"83",5,5,5,5,5
"84",5,5,5,5,5
"85",5,5,5,5,5
"86",5,5,5,5,5
"88",5,5,5,5,5
"89",5,5,5,5,5
"93",5,5,5,5,5
"94",5,5,5,5,5
"95",5,4,4,5,5
"97",5,4,5,5,5
"98",5,5,5,5,5
"100",5,5,5,4,5
"102",5,4,5,5,5
"105",5,4,4,5,5
"108",5,5,3,5,5
"110",5,5,5,5,5
"112",5,5,4,4,5
"113",5,5,5,5,5
"114",5,4,5,3,5
"115",5,5,5,3,5
"116",5,5,4,5,5
"117",5,5,5,5,5
"118",5,5,5,5,5
"119",5,5,4,5,5
"120",5,5,5,4,5
"121",4,5,5,4,5
"125",5,5,4,5,5
"126",5,5,5,5,5
"127",5,5,4,5,5
"129",5,5,5,5,5
"130",5,5,5,5,5
"131",5,5,5,5,5
"132",5,5,4,5,5
"133",4,5,5,4,5
"135",5,5,5,5,5
"139",5,5,5,4,5
"140",5,5,5,5,5
"141",5,5,5,5,5
"144",5,5,5,5,5
"148",5,4,4,5,5
"154",5,5,5,5,5
"155",4,5,5,4,5
"156",5,5,5,5,5
"157",5,5,4,5,5
"161",4,4,5,5,5
"162",5,5,5,5,5
"168",5,4,5,4,5
"169",5,5,5,4,5
"170",5,5,5,5,5
"172",5,5,5,5,5
"173",5,5,5,5,5
"178",5,5,5,5,5
"179",5,4,4,4,5
"180",5,5,4,4,5
"182",5,5,5,5,5
"183",5,5,5,5,5
"187",5,5,5,5,5
"189",5,5,5,5,5
"191",5,5,5,5,5
"192",5,5,5,5,5
"193",5,5,5,5,5
"196",5,5,5,3,5
"198",5,5,5,5,5
"199",5,5,5,5,5
"202",5,5,4,5,5
"204",5,5,5,5,5
"205",5,5,5,5,5
"209",5,5,5,5,5
"210",5,5,5,5,5
"212",5,5,5,4,5
"213",5,5,4,5,5
