word.freq.remove,word.freq.order,word.freq.free,word.freq.meeting,word.freq.re,word.freq.edu,char.freq.semicolon,char.freq.exclamation,capital.run.length.average,y
0,0,0,0,0.53,0,0,0,1.142,0
0,0,0,0,0,0,0.029,0.416,1.373,1
0,0,0,0,0,0,0,0,1.375,0
0,0,0.75,0,0,0,0,0.415,1.937,1
0,0,0,0,0,0,0,0.407,3.417,1
0,0,0,0,0.91,0.91,0,0.13,2.457,0
0,0,0,0,1.29,2.58,0,1.16,3.121,0
0,0,0,0,0,0,0,1.282,1,0
0,0,0,0,0,0,0,2.362,3.384,1
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,2.06,0
0,0,0,0,0,0,0,0,1.848,0
0,0,0,0,0,0,0,0,1.625,0
0,0,0,0.47,0,0,0,0,1.884,0
0,0,2.94,0,0,0,0.404,0.809,4.857,1
0,0,0,0,1.88,0,0,0.366,2,0
2.2,0,0,0,0.55,0,0,0.495,16.826,1
0,0,0,0,0,0,0,0,1.768,0
0,0,0,0,0.72,0,0,0,1.897,0
0.45,0,0.22,0,0,0,0,0.037,13.936,1
0,0,0,0,0.28,0,0,0,1.962,0
0,0.68,0,0,0,0,0,0.902,664,1
0,0.29,0.32,0,0.07,0,0.016,0.638,3.697,1
2.04,0,0,0,0,0,0,0.309,2.111,1
0,0,0,0.73,0,0,0,0.149,10.012,0
1.2,1.2,0,0,0,0,0,0.331,50.166,1
0.86,0,0.86,0,0,0,0,0.457,2.75,1
0.32,0,0.32,0,0.32,0,0,0,1.494,1
0,0,4.97,0,0,0,0,0.17,1.468,1
0.08,0.08,0.08,0,0.17,0,0,0.287,3.314,1
0,0,0,0,0,0,0.098,0,2.324,0
0,0,0,0,0,0,0,0,1,0
0,0.66,0,0,0,0,0,0.023,8.76,0
0,0.8,0,0,0,0,0,0,1.166,0
0,0,0,0.11,0,0,0.053,0,2.367,0
0,0.75,0,0,0,0,0,2.224,107.4,1
0,0.52,0,0,0.1,0,0.223,0,2.725,0
0,0,0,5.55,0,0,0,0,1.375,0
0.25,0.59,0.25,0,0.08,0.08,0,0.42,7.497,1
0,0,0,0,0,0,0,0.311,1.954,1
1.25,0,6.25,0,0,0,0,0,1,1
0,0,0,0,0.33,0.33,0,0.174,2.071,0
0,0,0,0,0,0,0,0.333,1.666,0
0,0,0,0,0,0,0,0,1.666,0
0,0,0,0,0,0,0,0,2,0
0.5,0.8,0.1,0,0.1,0.1,0,0.49,8.55,1
0,0.09,0,0,0,0,0.765,5.831,6,1
0,0,0.38,0,0,0,0.068,0.019,3.389,1
0,0,0,0,0,0,0,0,1.89,0
0,0,0,0,3.03,0,0,0,1.272,0
0,0,0,0,0,0,0,3.448,2.666,1
0,0,0,0,0,0,0,0.816,3.173,1
0,0,0,0,0,0,0,3.571,1,0
0,0,0.77,0,0.77,0,0,0.672,2.794,1
0,0,0,0,0,0,0,0,4.223,0
0,0,0,0,0,0,0,0,1.373,0
0,0,0,0,0,0,0,0.596,2.133,0
0.35,0,0.7,0,0,0,0,0.397,3.388,1
0,0,0,0,0,0,0.109,0,1.411,0
0,0,0,0,0,0,0,0,4.413,0
0.59,0,0,0,0.59,0,0,0.052,2.886,1
0,0,0,0,0,3.12,0,0,1,0
0,0,0.32,0,0,0,0,0.622,1.25,1
0,1.15,0.11,0,0,0,0.048,0,3.275,0
0.05,0.44,0.26,0,0.02,0,0,0.344,6.094,1
0,0,0,0,0,0.86,0,0,3.103,0
0,0,0,0,0,2.77,0,0,1,0
0,0,0.45,0,0.22,0,0.153,0,2.47,1
0.96,0,0,0,0,0,0,0.462,1.312,1
1.05,0,3.15,0,0,0,0,0.74,4.947,1
0.32,0,0.32,0,0.32,0,0,0,1.537,1
0.1,0.2,0.91,0,0,0,0,0.297,6.8,1
0.13,0.13,0,0,0,0,0,0.021,1.728,1
0.09,0.55,0,0,0.09,0,0,0.341,7.273,1
0,0,0,2.22,0,0,0,0.181,1.285,0
0,0,1.05,0,1.05,0,0,0.365,3.343,1
0.21,0,0.14,0,0,0,0,0.372,5.114,1
0,0,0,0,0,0,0.215,0,2.221,0
0,0,20,0,0,0,0,0,1,0
0,0,0,0,0,0,0,6.387,1.131,0
0,0,0,0,0,0,0,0.218,1.827,1
0,0,0,0,0,0,0,0,1.687,0
0,0,3.34,0,0,0,0,0.878,5.985,1
0,0,0,0,0,0,0,0.649,5.875,1
0.68,0,0.34,0,0,0,0,0.048,1.411,0
0,0,1.25,0,0,0,0,0,1.2,1
0.45,0,0,0,0,0,0,0.21,2.368,1
0.57,0,1.72,0,0,0,0,0.19,6.584,1
0,0,0,0,0,0.46,0,0,1.117,0
0,0,0,0,0.87,0,0.327,0,1.3,0
0,0,0,0,0,0,0,1.123,2.6,0
0,0,0.07,0.07,0.07,0,0,0,1.588,0
0,0,0,0,0,0,0.012,0,2.188,0
0,0,0,0,0,0.42,4.385,0.071,6.822,0
0,0,1.19,0,0,0,0,0.403,9.785,1
0,0,0,0,0,0,0,0,1.437,0
0,0,0,0,0,0,0.135,0,1.915,0
0,0,0,1.27,0,0,0.028,0,2.457,0
0,0,0,0,0,0,0,0,4.818,1
0,0,0,0,0.91,0,0,0,1.918,0
0,0,0,0,0,0,0,0,6.428,0
0,0,0,0.58,0.58,1.16,0,0.082,2.674,0
0,0,0,0,0,2.89,0,0.954,9.125,0
0,0,0,0,0.25,0,0,0,1.196,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,1.69,0,0,0,3.083,0
0,0,0,0,1.4,0,0,0.1,1.682,0
0,0,0,0,0.74,0,0,0,2.638,0
0.64,0,0,0,0.64,0,0,0.921,1.833,1
0,0,0,0,0.38,0,0,0.276,1.104,0
0,0,0,0,0,0,0,0,1,0
0.04,0.4,0.23,0,0.02,0,0,0.311,5.328,1
0,0,0,0,0,0,0,0,1.8,0
0,0,0,0,0,0,0.058,0.087,1.54,1
0,0.43,0,0,0,0,0.075,0,5.086,1
0,0,0,0,0,0,0,0,1.6,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1.636,0
0,0,0,0.83,0,0.83,0,0,3.137,0
0.45,0.9,1.81,0,0.45,0,0,0.64,3.607,1
0,0,0,0,1.17,0,0,0.203,4.133,1
0.08,0.08,0,0,0,0,0,0.092,4.16,1
0,0,0,0,0,0,0.305,1.529,5.5,1
0,0,0,0,0,0,0,0,2.575,0
0.19,0,0,0,0,0,0.015,0.061,3.626,1
0,0,0,0,0.66,0,0,0,1.153,0
0,0,2.22,0,0,0,0,0,1.583,0
0,0,0,0,0,0.35,0,0,1.27,0
0,0,0,0,0,0,0,0.072,2.847,0
0,0,0,0,0,0,0,0.11,1.812,0
0.45,0,0,0,0,0,0,0.072,7.857,1
0,0,0,0,0,0,0,0.164,1.391,0
0.41,0,1.65,0,0,0,0,0.904,7.478,1
0,0,0,0,0,0,0,7.843,1.666,1
0,0.75,0.37,0,0,0,0,0.437,3.675,1
0,0,0,4.08,0,0,0,0,1.1,0
0.6,0,0,0,0,0,0,0,1.583,1
0.1,0.1,0,0,0,0,0,0.016,1.915,1
0,0,0,5.12,0,0,0,0,4.368,0
0,0,0,0,0,0,0,0,2.862,0
0,0,0,0,0,0,0.048,0,2.147,0
0,1.08,0,0,0,0,0.117,0,4.134,0
0.5,0.8,0.1,0,0.1,0.1,0,0.49,8.55,1
0,0,0,0,0.56,0.37,0.033,0.099,1.489,0
0,0,0,0,0.44,0.44,0,0,1.613,0
0,0,0,0,0,0,0,0.874,5.114,1
0,0,0,0,0,0,0,0,1.833,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,2.85,0,0,0,1,0
0,0,0,0,1.1,0,0,0.633,1.386,0
0,0,0,0.76,2.29,0,0,0.127,1.755,0
0.44,0.79,0.62,0,0.08,0,0,0.225,6.725,1
0,0,0,0,1.42,0,0,0,1,0
0,0,0,0,0,0,0,0,1.6,0
0,0,0,0,0,0,0,0,1.483,0
0,0,0,0,0,0,0,0,1.75,0
0,0,0.06,0,0.06,0,0.028,0,2.423,0
0,0,0,0,0,0,0,0,1.586,0
0,0,0,0,0,0,0,0,1.136,0
0.91,0,0.91,0,0,0,0,0.455,2.842,1
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1.72,0
0,0.51,0,0,0,0,0.209,0,3.764,0
0,0,0.32,0,0,0,0,0.778,3.756,1
0,0,0,0,0,0,0,0,1.5,0
7.27,0,0,0,0,0,0,0.291,2.444,1
0,0,0,0,3.57,3.57,0,0,1.454,0
0,0,0,0,0,0,0,0,1.666,0
0.33,0.33,0,0,0,0,0,1.027,4.984,0
0,0.06,0.06,0.06,0,0,0.008,0,1.972,0
0.23,0,0,0,0,0,0.073,0,3.184,0
0,0,0,0.44,0,0,0,0,3.901,0
0,0,0,0,0,0.39,0,0.284,1.565,0
0,0,0,0,1.31,0,0,0,1.75,0
0,0.5,0,0,0,0,0.073,0,2.787,0
0,0,1.11,0,0,0,0,0.484,8.375,1
0,0,0,0,1.18,0,0.119,0,2.565,0
0,1.15,0.19,0,0,0,0.027,0.438,14.619,1
0.06,0,0.26,0,0,0,0.036,0.278,3.887,1
0,0.72,0.36,0,0.36,0,0,1.203,18.4,1
0.87,0,2.63,0,0,0,0,0.798,18.454,0
0,0,0,0,0,1.04,0,0.09,1.466,0
0,0,0,0,0,0,0,0,1.428,0
0,0,0,0,0,0,0,0,4.818,1
0,0,0,0,0,0,0,0,2.5,0
0,0,0,0,0,0,0,0,2.533,0
0,0.82,0.08,0,0.08,0,0.221,0,2.816,0
0,0,0,0,2.22,0,0,0.383,1.333,0
0,0,0,0,1.11,0.37,0,0,1.488,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,3.03,0,0,0,2.769,0
0,0,0.55,0,0.55,0,0,0.893,2.122,1
0,0,0,0.11,0.23,0,0,0,1.486,0
0,0,0,0,0,0,0,0,1.75,0
0,0,0,0,0.33,0,0.168,0.224,4.115,0
0,0,0,0,0,0,0,0.145,1.342,0
0,0,0,0,0,0,0,0,1.062,0
0.14,0.57,0.86,0,0,0,0,0.826,5.456,1
0,0,0.47,0,0,0,0,0,7.18,1
0,0,0,0,0,0,0,0.125,7.054,1
0,0,0,0,0,0,0,0,4.308,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1.5,0
0,0.15,0,0,0,0,0.023,0,2.677,0
0.72,0,0,0,0,0,0,0.134,3.066,1
0,0,0,0,0,0,0,0,1.695,0
0,0,0,0,0,0,0,1.096,1.916,1
0,0,0,0,0,0,0,0,2.094,0
0.14,0,0.14,0,0.14,0,0,0.865,5.133,1
0,0.1,0,0,0.05,0,0,0.054,2.37,1
0.02,0.42,0.16,0,0.02,0,0,0.391,5.783,1
0.57,0,0,0,0,0,0,0.518,10.117,1
0,0.04,0,0.02,0,0.26,0.005,0.031,2.246,0
0,0,0.55,0,0.55,0,0,0.683,2.338,1
0,1.36,1.36,0,0,0,0,1.777,9.727,1
0,0,0,0,0,0,0,0,1.75,0
0.9,0,1.81,0,0,0,0,1.492,5.3,1
0,0,7.35,0,0,0,0,1.272,6.055,1
0,0,0,0,0.06,0,0.028,0,2.341,0
0.14,0.42,0,0,0,0,0,0.045,14.88,1
0,0,0,0,0,0,0,0.176,1.758,0
0,0,0,0,0.39,0,0,0,2.5,1
0,0,0.43,0,0.43,0,0,1.133,1.2,1
0,0,0,0,6.66,0,0,1.149,1.5,0
0,0,1.34,0,0,0,0,0,2.25,1
0,0,0,0,0,0,0,0,1.407,0
