Time,KABI,KAUS,KCRP,KDFW,KHOU,KMAF,KSPS,KTYR
12/31/09 23:00,274.25,286.25,289.25,276.25,284.25,276.25,275.25,282.25
1/1/10 0:00,274.25,284.25,288.25,276.25,283.75,276.25,275.25,279.25
1/1/10 1:00,275.25,282.25,288,276.25,284.25,276.25,274.25,279.25
1/1/10 2:00,274.25,281.25,287.25,276.25,286.25,275.25,273.25,278.25
1/1/10 3:00,274.25,281.25,286.5,275.25,285.25,275.25,272.25,278.25
1/1/10 4:00,274.25,280.25,286.25,274.25,284.25,274.25,272.25,277.25
1/1/10 5:00,273.25,279.25,284.25,274.25,284.25,274.25,272.25,276.25
1/1/10 6:00,272.25,279.25,284.25,273.25,282.25,272.25,270.25,276.25
1/1/10 7:00,271.25,278.75,282.25,272.25,281.25,270.25,270.25,275.75
1/1/10 8:00,271.25,277.25,281.25,272.25,281.25,268.25,269.25,274.25
1/1/10 9:00,271.25,276.25,280.5,272.25,281.25,270.25,269.25,272.25
1/1/10 10:00,270.25,276.25,280.25,271.25,280.25,269.25,270.25,272.25
1/1/10 11:00,270.25,275.25,279.25,271.25,280.25,270.25,269.25,272.25
1/1/10 12:00,270.25,275.25,279.25,270.25,280.25,269.25,267.25,271.25
1/1/10 13:00,270.25,276.25,278.75,271.25,279.25,268.25,268.25,271.25
1/1/10 14:00,272.25,278.25,280.25,273.25,279.25,271.25,271.25,272.25
1/1/10 15:00,275.25,280.25,281.25,275.25,280.25,275.25,274.25,275.25
1/1/10 16:00,279.25,282.25,282.25,276.25,281.25,277.25,276.25,277.25
1/1/10 17:00,281.25,283.25,282.25,279.25,282.25,280.25,279.25,279.25
1/1/10 18:00,282.25,284.25,284.25,280.25,284.25,282.25,281.25,281.25
1/1/10 19:00,283.25,285.25,285.25,282.25,285.25,285.25,282.25,282.25
1/1/10 20:00,284.25,285.25,286.25,282.25,286.25,285.25,283.25,284.25
1/1/10 21:00,284.25,285.25,286.25,283.25,285.25,286.25,283.25,284.25
1/1/10 22:00,284.25,285.25,285.25,282.25,285.25,286.25,282.25,283.25
1/1/10 23:00,281.25,NA,284.25,281.25,282.25,284.25,279.25,279.25
1/2/10 0:00,278.25,277.25,282.25,278.25,282.25,277.25,279.25,278.25
1/2/10 1:00,277.25,NA,281.25,277.25,281.25,277.25,276.25,277.25
1/2/10 2:00,275.25,NA,280.25,276.25,280.25,276.25,276.25,275.25
1/2/10 3:00,275.25,NA,280.25,277.25,279.25,275.25,274.25,275.25
1/2/10 4:00,275.25,NA,279.25,276.25,279.25,275.25,273.25,274.25
1/2/10 5:00,276.25,272.25,279.25,276.25,279.25,275.25,272.25,274.25
1/2/10 6:00,275.25,NA,277.25,276.25,277.25,275.25,272.25,272.25
1/2/10 7:00,274.25,NA,277.25,275.25,278.25,272.25,272.25,273.25
1/2/10 8:00,274.25,270.25,276.25,274.25,276.25,271.25,272.25,272.25
1/2/10 9:00,274.25,270.25,276.25,274.25,277.25,271.25,271.25,273.25
1/2/10 10:00,272.25,270.25,275.25,274.25,276.25,270.25,270.25,273.25
1/2/10 11:00,275.25,270.25,277.25,272.25,275.25,271.25,269.25,272.25
1/2/10 12:00,271.25,270.25,276.25,272.25,275.25,271.25,269.25,271.25
1/2/10 13:00,270.25,271.25,278.25,272.25,276.25,270.25,268.25,272.25
1/2/10 14:00,271.25,274.25,281.25,273.25,280.25,273.25,269.25,276.25
1/2/10 15:00,271.25,278.25,283.25,275.25,282.25,276.25,270.25,280.25
1/2/10 16:00,272.25,281.25,285.25,277.25,283.25,279.25,271.25,282.25
1/2/10 17:00,273.25,283.25,286.25,281.25,284.25,282.25,273.25,283.25
1/2/10 18:00,275.75,284.25,287.25,282.25,284.25,283.25,274.25,284.25
1/2/10 19:00,279.25,285.25,288.25,284.25,285.25,285.25,275.25,285.25
1/2/10 20:00,281.25,286.25,287.25,284.25,NA,286.25,276.25,284.25
1/2/10 21:00,282.25,286.25,287.25,284.25,NA,286.25,277.25,284.25
1/2/10 22:00,281.25,285.25,286.25,283.25,283.25,285.25,276.25,284.25
1/2/10 23:00,279.25,282.25,285.25,280.25,281.25,284.25,275.25,281.25
1/3/10 0:00,276.25,280.25,285.25,279.25,281.25,281.25,274.25,280.25
1/3/10 1:00,274.25,NA,285.25,277.25,280.25,280.25,274.25,278.25
1/3/10 2:00,275.25,277.25,285.25,279.25,280.25,279.25,274.25,278.25
1/3/10 3:00,276.25,277.25,285.25,275.25,280.25,278.25,274.25,278.25
1/3/10 4:00,274.25,NA,285.25,277.25,NA,276.25,273.25,278.25
1/3/10 5:00,272.25,NA,285.25,277.25,280.25,276.25,272.25,278.25
1/3/10 6:00,271.25,278.25,285.25,276.25,279.25,272.25,272.25,277.25
1/3/10 7:00,270.25,279.25,285.25,274.25,280.25,271.25,272.25,276.25
1/3/10 8:00,270.25,279.25,284.25,275.25,280.25,270.25,272.25,275.25
1/3/10 9:00,270.25,279.25,285.25,275.25,280.25,270.25,274.25,275.25
1/3/10 10:00,270.25,279.25,285.25,274.25,280.25,270.25,272.25,274.25
1/3/10 11:00,270.25,279.25,NA,274.25,280.25,270.25,270.25,274.25
1/3/10 12:00,269.25,280.25,285.25,275.25,280.25,NA,270.25,274.25
1/3/10 13:00,269.25,280.25,285.25,275.25,279.25,NA,269.25,274.25
1/3/10 14:00,270.25,280.25,286.25,276.25,279.25,NA,270.75,274.25
1/3/10 15:00,271.25,280.75,286.25,276.25,279.25,271.5,272.25,276.25
1/3/10 16:00,271.25,281.25,287.25,277.25,280.25,272.25,273.25,277.25
1/3/10 17:00,271.25,282.25,287.25,278.25,280.25,274.25,274.25,279.25
1/3/10 18:00,272.25,282.25,287.25,280.25,281.25,276.5,274.25,280.25
1/3/10 19:00,NA,282.25,287.25,281.25,281.25,279.25,275.25,280.25
1/3/10 20:00,274.25,282.25,287.25,280.75,282.25,281.25,276.25,281.25
1/3/10 21:00,275.25,282.25,287.25,279.25,282.25,281.25,275.25,281.25
1/3/10 22:00,275.25,281.25,287.25,277.25,282.25,281.25,274.25,281.25
1/3/10 23:00,274.25,280.25,286.25,277.25,281.25,279.25,272.25,279.25
1/4/10 0:00,274.25,280.25,286.25,277.25,281.25,276.25,271.25,277.25
1/4/10 1:00,274.25,280.25,285.5,276.25,280.25,274.25,271.25,277.25
1/4/10 2:00,274.25,280.25,285.25,275.25,279.25,273.25,271.25,276.75
1/4/10 3:00,272.25,280.25,285.25,274.25,280.25,271.25,271.25,276.25
1/4/10 4:00,272.25,280.25,284.25,273.25,280.25,271.25,271.25,275.25
1/4/10 5:00,272.25,279.25,284.25,272.25,281.25,270.25,270.75,275.25
1/4/10 6:00,272.25,278.25,282.25,272.25,281.25,270.25,271.25,275.25
1/4/10 7:00,271.25,277.25,282.25,272.25,281.25,270.75,271.25,273.75
1/4/10 8:00,271.25,277.25,282.25,272.25,281.25,270.25,271.25,273.25
1/4/10 9:00,NA,277.25,282.25,271.25,281.25,270.25,271.25,272.25
1/4/10 10:00,NA,276.25,282.25,271.25,281.25,270.25,271.25,272.25
1/4/10 11:00,269.25,276.25,282.25,270.25,280.25,270.25,271.25,272.25
1/4/10 12:00,269.25,276.25,281.25,270.25,279.25,270.25,272.25,271.25
1/4/10 13:00,270,274.25,280.25,270.25,279.25,270.25,271.25,271.25
1/4/10 14:00,270.25,275.25,280.25,271.25,278.75,271,271.25,271.25
1/4/10 15:00,271.25,275.25,281.25,272.25,277.25,271.25,272.25,272.25
1/4/10 16:00,272.25,277.25,282.25,274.25,277.25,271.5,272.25,274.25
1/4/10 17:00,272.25,279.25,282.25,274.25,278.25,272.25,273.75,275.25
1/4/10 18:00,274.25,280.25,283.25,275.25,280.25,272.25,275.25,275.25
