word.freq.remove,word.freq.order,word.freq.free,word.freq.meeting,word.freq.re,word.freq.edu,char.freq.semicolon,char.freq.exclamation,capital.run.length.average,y
0,0,5.35,0,0,0,0,0.357,1.971,1
0,0,0,0,0,0,0,1.975,35.461,1
0,0.31,0.63,0,0,0,0,0.055,3.509,1
0,0,0,0,1.44,0,0,0.392,5.466,1
0,0,3.33,0,0,0,0,0.352,4,1
0,0,3.03,0,0,0,0,2.112,3.909,1
0,0,0.27,0,0,0,0,0,1.39,1
0,0,0,0,0,0,0,0,1.7,1
0.18,0,0,0,0,0,0,0.426,1.283,1
0.26,0,0.26,0,0,0,0,0.813,2.145,1
0.73,0.36,1.09,0,0,0,0,0.498,3.254,1
0.73,0.36,1.1,0,0,0,0,0.5,3.259,1
0.93,0,1.39,0,0,0,0.069,0,1.442,1
0.2,0,0.83,0,0.41,0.62,0,0.132,1.65,1
0,0,0,0,0,0,0,0,3.8,1
1.12,0,0.56,0,0,0,0,1.083,4.974,1
2.46,0,2.46,0,0,0,0,1.907,1.285,1
0,0.57,0.23,0,0.03,0,0.011,0.335,7.202,1
0,0,2.77,0,0,0,0,0.715,1.181,1
0,0,0.66,0,0,0,0,0.12,5.428,1
0,0,0,0,0,0,0.063,0.063,2.562,1
0,0,4.76,0,0,0,0,0,2.375,1
0,0,0.33,0,0.33,0,0,0.583,4.024,1
0,0,0.44,0,0.44,0,0,1.083,2.428,1
0,0,0,0,0.36,0,0,0.118,1.307,1
0,0,1.59,0,0,0,0,0.28,2.823,1
0,0,0.56,0,0.56,0,0,0.615,2.403,1
0.61,0,0,0,0,0,0,0.353,2.25,1
0,0.47,0.95,0,0.47,0,0,0.461,3.493,1
0,0.27,1.11,0,0.13,0,0,0.75,3.401,1
0,1.17,0.14,0,0,0,0,0.204,2.962,1
0,0,0,0,0,0,0,0.784,5.687,1
0.08,0.25,0.51,0,0,0,0,0.348,5.392,1
0.32,0,0.32,0,0.64,0,0,0,1.494,1
0,0.37,0,0,0,0,0,0.242,2.623,1
2.41,0,0,0,0,0,0,0,1.888,1
0.64,0,0.64,0,0,0,0,0.554,2.333,1
0,0,1.05,0,1.05,0,0,0.351,3.343,1
0,0.58,0,0,0,0,0,0,1021.5,1
0,0,1.28,0,1.28,0,0,0.23,5.538,1
0.45,0.45,0,0,0,0,0,0.063,4.735,1
0,0.06,0,0,0,0,0.01,0.01,1.748,1
0,0.67,0.08,0,0.08,0.08,0.012,0.356,11.32,1
0.33,0,1.65,0,0,0,0,0.537,2.517,1
0.67,0,0,0,0,0,0,0.286,5.558,1
0.33,0.16,0,0,0,0,0,1.118,4.928,1
0,0,1.44,0,0,0,0,0.277,1.312,1
0,0,0.31,0,0.31,0,0,0.777,3.39,1
0,0,0.24,0,0.12,0,0.061,0.041,2.351,1
0,0,0,0,0,0,0,0.486,2.681,1
0.25,0.59,0.25,0,0.08,0.08,0,0.394,7.484,1
0,0.77,0,0,0,0,0,0.26,3.298,1
0,0,0,0,1.17,0,0,0.422,4.066,1
0,0,0,0,0,0,0,0,2.363,1
0,0,3.54,0,0.39,0,0,0.843,5.87,1
0,0,0,0,0,0,0,0.093,5.038,1
0,0.54,0.21,0,0.03,0,0.012,0.439,6.683,1
0,0.49,0.66,0,0.16,0,0,0.616,5.778,1
1.25,0,2.5,0,0,0,0,0.223,2.35,1
2.1,0,0,0,0,0,0,0,2.695,1
0.19,1.38,0.98,0,0,0,0,0.749,6.652,1
0,0.36,1.81,0,0,0,0,0.125,1.287,1
1.08,0,2.17,0,0.54,0,0,0.334,1.325,1
1.28,0,0.64,0,0,0,0,0.085,2.466,1
0.79,0,0,0,0,0,0,0.612,2.678,1
0.84,0,0.84,0,0,0,0,0.519,5,1
0,0.58,0.23,0,0.03,0,0,0.438,6.134,1
0,0.29,0.09,0,0,0,0,0.19,2.324,1
0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0.396,2.333,1
0,0,0.28,0,0,0,0,0.046,1.661,1
0,0,2.59,0,0,0,0,1.098,3.571,1
0.5,0.8,0.1,0,0.1,0.1,0,0.49,8.55,1
4,0,0,0,0,0,0,0,8.166,1
0,0.47,0.47,0,0,0.47,0,0.169,9.64,1
0.33,0.66,0,0,0,0,0,0.859,337.25,1
0.49,0.66,0.82,0,0.08,0,0,0.25,5.872,1
0,0.19,0,0,0,0,0,0.349,5.886,1
