"year","month","dayofmonth","temp","summersess","winterbreak","springbreak","exam","coffee","wrap","soda"
2006,1,3,51.3,0,1,0,0,16,7,1
2006,1,4,49.6,0,1,0,0,14,5,2
2006,1,5,49.8,0,1,0,0,17,7,0
2006,1,6,47,0,1,0,0,15,4,1
2006,1,9,51.2,0,1,0,0,14,7,0
2006,1,10,54.8,0,1,0,0,10,8,0
2006,1,11,53.8,0,1,0,0,9,3,0
2006,1,12,59.6,0,1,0,0,11,3,1
2006,1,13,59.9,0,1,0,0,7,8,2
2006,1,16,44.6,0,1,0,0,19,5,0
2006,1,17,51.9,0,0,0,0,125,52,104
2006,1,18,55.8,0,0,0,0,107,46,125
2006,1,19,51.5,0,0,0,0,137,65,90
2006,1,20,49.1,0,0,0,0,166,57,124
2006,1,23,44.6,0,0,0,0,174,53,73
2006,1,24,49.9,0,0,0,0,140,63,99
2006,1,25,49.8,0,0,0,0,138,42,109
2006,1,26,43.6,0,0,0,0,129,49,77
2006,1,27,42.2,0,0,0,0,137,48,75
2006,1,30,57.9,0,0,0,0,108,55,125
2006,1,31,56.9,0,0,0,0,133,44,112
2006,2,1,46.3,0,0,0,0,161,38,105
2006,2,2,46.1,0,0,0,0,155,51,103
2006,2,3,56.1,0,0,0,0,148,52,139
2006,2,6,42.6,0,0,0,0,162,49,84
2006,2,7,42.5,0,0,0,0,170,44,99
2006,2,8,41.4,0,0,0,0,125,41,78
2006,2,9,39.9,0,0,0,0,160,51,98
2006,2,10,40.4,0,0,0,0,138,38,90
2006,2,13,38.8,0,0,0,0,156,45,87
2006,2,14,40.6,0,0,0,0,156,45,85
2006,2,15,45.9,0,0,0,0,142,39,118
2006,2,16,56,0,0,0,0,118,53,134
2006,2,17,58.9,0,0,0,0,151,50,116
2006,2,20,37.6,0,0,0,0,153,54,102
2006,2,21,46,0,0,0,0,154,46,110
2006,2,22,48.2,0,0,0,0,162,49,102
2006,2,23,49.4,0,0,0,0,153,53,102
2006,2,24,49.7,0,0,0,0,154,47,89
2006,2,27,42.1,0,0,0,0,133,41,74
2006,2,28,47.7,0,0,0,0,164,62,100
2006,3,1,56.4,0,0,0,0,121,52,127
2006,3,2,62.4,0,0,0,0,116,56,124
2006,3,3,61.1,0,0,0,0,106,58,120
2006,3,6,48.7,0,0,0,0,169,43,108
2006,3,7,46.7,0,0,0,0,145,44,98
2006,3,8,47.1,0,0,0,0,109,43,115
2006,3,9,51.3,0,0,0,0,114,44,108
2006,3,10,63.1,0,0,0,0,132,55,115
2006,3,13,72.8,0,0,1,0,29,30,33
2006,3,14,70.4,0,0,1,0,18,16,29
2006,3,15,62.3,0,0,1,0,25,12,2
2006,3,16,54.6,0,0,1,0,33,12,2
2006,3,17,55.9,0,0,1,0,37,14,1
2006,3,20,45.7,0,0,0,0,167,57,86
2006,3,21,43.5,0,0,0,0,170,48,97
2006,3,22,44.5,0,0,0,0,139,34,82
2006,3,23,42.8,0,0,0,0,153,48,81
2006,3,24,48.2,0,0,0,0,160,43,85
2006,3,27,43.8,0,0,0,0,154,58,101
2006,3,28,47.9,0,0,0,0,160,38,127
2006,3,29,53.9,0,0,0,0,155,65,119
2006,3,30,58,0,0,0,0,114,53,105
2006,3,31,59.1,0,0,0,0,143,51,128
2006,4,3,68.2,0,0,0,0,110,62,108
2006,4,4,63.7,0,0,0,0,101,59,123
2006,4,5,60.7,0,0,0,0,130,61,115
2006,4,6,60.2,0,0,0,0,122,52,119
2006,4,7,64.7,0,0,0,0,108,59,137
2006,4,10,51.1,0,0,0,0,120,51,92
2006,4,11,55.4,0,0,0,0,118,40,125
2006,4,12,62,0,0,0,0,134,55,110
2006,4,13,66.9,0,0,0,0,125,58,124
2006,4,14,67.9,0,0,0,0,105,52,126
2006,4,17,72.7,0,0,0,0,104,60,167
2006,4,18,62.8,0,0,0,0,147,77,130
2006,4,19,62.5,0,0,0,0,127,52,120
2006,4,20,62,0,0,0,0,138,56,116
2006,4,21,68.7,0,0,0,0,128,60,115
2006,4,24,71,0,0,0,0,125,63,133
2006,4,25,71.3,0,0,0,0,124,67,169
2006,4,26,65.2,0,0,0,0,111,55,117
2006,4,27,58.5,0,0,0,0,124,38,129
2006,4,28,54.6,0,0,0,0,115,59,141
2006,5,1,55.7,0,0,0,0,122,50,110
2006,5,2,61.2,0,0,0,0,125,66,119
2006,5,3,64.4,0,0,0,0,128,54,120
2006,5,4,68.8,0,0,0,0,113,59,114
2006,5,5,70.7,0,0,0,0,112,53,168
2006,5,8,58.1,0,0,0,1,129,51,141
2006,5,9,57.3,0,0,0,1,181,55,150
2006,5,10,55.7,0,0,0,1,134,49,139
2006,5,11,64.9,0,0,0,1,157,46,156
2006,5,12,66,0,0,0,1,169,58,146
2006,5,15,62.5,0,0,0,1,128,52,164
2006,5,16,61.4,0,0,0,1,141,58,168
2006,5,17,62.7,0,0,0,1,166,52,172
2006,5,18,64.4,0,0,0,1,141,45,176
2006,5,19,62.2,0,0,0,1,170,57,165
2006,5,29,77.7,1,0,0,0,69,41,91
2006,5,30,79.2,1,0,0,0,77,33,67
2006,5,31,80.2,1,0,0,0,63,51,78
2006,6,1,79.2,1,0,0,0,67,41,72
2006,6,2,77.5,1,0,0,0,68,40,74
2006,6,5,68.2,1,0,0,0,53,37,32
2006,6,6,65.4,1,0,0,0,74,31,28
2006,6,7,68.9,1,0,0,0,94,37,21
2006,6,8,72.9,1,0,0,0,63,36,64
2006,6,9,71.8,1,0,0,0,63,30,52
2006,6,12,73.2,1,0,0,0,79,43,55
2006,6,13,71.6,1,0,0,0,63,32,58
2006,6,14,69.3,1,0,0,0,67,37,34
2006,6,15,68.8,1,0,0,0,69,36,38
2006,6,16,71.5,1,0,0,0,57,44,61
2006,6,19,77,1,0,0,0,63,36,68
2006,6,20,78.8,1,0,0,0,67,45,82
2006,6,21,78.5,1,0,0,0,70,36,68
2006,6,22,79.7,1,0,0,0,58,36,75
2006,6,23,79.6,1,0,0,0,60,37,80
2006,6,26,77.3,1,0,0,0,72,38,69
2006,6,27,78,1,0,0,0,73,34,74
2006,6,28,79.6,1,0,0,0,70,43,87
2006,6,29,79.1,1,0,0,0,84,44,77
2006,6,30,78.8,1,0,0,0,65,47,67
2006,7,3,81.7,1,0,0,1,88,33,111
2006,7,5,84.6,1,0,0,1,99,29,98
2006,7,6,78.9,1,0,0,1,94,43,101
2006,7,7,74.3,1,0,0,1,91,22,91
2006,7,10,74.7,1,0,0,0,59,38,59
2006,7,11,77.7,1,0,0,0,81,40,74
2006,7,12,79.6,1,0,0,0,53,47,81
2006,7,13,83.2,1,0,0,0,63,43,91
2006,7,14,85.2,1,0,0,0,67,35,89
2006,7,17,81.5,1,0,0,0,84,36,63
2006,7,18,81.4,1,0,0,0,77,40,81
2006,7,19,83.4,1,0,0,0,70,33,79
2006,7,20,81.6,1,0,0,0,57,45,93
2006,7,21,81.3,1,0,0,0,61,39,78
2006,7,24,78.2,1,0,0,0,67,24,65
2006,7,25,77.3,1,0,0,0,74,36,71
2006,7,26,76.6,1,0,0,0,61,39,75
2006,7,27,81.7,1,0,0,0,66,31,88
2006,7,28,84.1,1,0,0,0,57,45,82
2006,7,31,80.8,1,0,0,0,68,34,100
2006,8,1,83.7,1,0,0,0,63,50,87
2006,8,2,85.7,1,0,0,0,75,42,102
2006,8,3,85.5,1,0,0,0,68,45,93
2006,8,4,85.6,1,0,0,0,58,44,92
2006,8,7,80.1,1,0,0,0,65,33,97
2006,8,8,80,1,0,0,0,66,45,66
2006,8,9,80.4,1,0,0,0,64,36,64
2006,8,10,80.6,1,0,0,0,57,39,71
2006,8,11,81,1,0,0,0,61,35,72
2006,8,14,73.2,1,0,0,1,110,38,99
2006,8,15,78.7,1,0,0,1,87,42,100
2006,8,16,78.8,1,0,0,1,109,30,107
2006,8,17,77.9,1,0,0,1,86,36,83
2006,8,18,78.4,1,0,0,1,106,34,100
2006,8,28,81.7,0,0,0,0,102,65,193
2006,8,29,84.8,0,0,0,0,110,68,171
2006,8,30,83.5,0,0,0,0,105,65,175
2006,8,31,79.6,0,0,0,0,112,67,166
2006,9,1,71.1,0,0,0,0,113,63,135
2006,9,5,76.2,0,0,0,0,115,72,161
2006,9,6,75.4,0,0,0,0,124,63,153
2006,9,7,74.6,0,0,0,0,113,72,153
2006,9,8,73.8,0,0,0,0,115,62,149
2006,9,11,75.4,0,0,0,0,115,68,159
2006,9,12,70.5,0,0,0,0,120,62,162
2006,9,13,67.2,0,0,0,0,142,52,138
2006,9,14,68.4,0,0,0,0,116,52,122
2006,9,15,69.9,0,0,0,0,138,63,128
2006,9,18,72.8,0,0,0,0,108,70,174
2006,9,19,73.3,0,0,0,0,89,61,147
2006,9,20,72,0,0,0,0,108,64,165
2006,9,21,64.1,0,0,0,0,148,57,130
2006,9,22,64.7,0,0,0,0,124,70,126
2006,9,25,75.3,0,0,0,0,138,57,172
2006,9,26,68.5,0,0,0,0,122,62,154
2006,9,27,63.5,0,0,0,0,139,51,123
2006,9,28,67.7,0,0,0,0,108,65,138
2006,9,29,66.3,0,0,0,0,118,60,133
2006,10,2,66.5,0,0,0,0,126,53,127
2006,10,3,66.2,0,0,0,0,117,51,148
2006,10,4,68.5,0,0,0,0,103,70,162
